Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
46,2025-06-20 17:09:09.101939,34,139,765,1.000,105.19,104.50,128.00,3576.50,3.97,610,17.94,0.262,0.000011,0.000011,0.000012,0.000011,0.000007,0.000012,4.09,25.73,5.50,105.19,17.94
47,2025-06-20 17:09:09.102167,32,129,766,0.941,104.61,104.00,123.50,3347.50,3.39,575,17.97,0.262,0.000011,0.000011,0.000012,0.000010,0.000007,0.000013,4.03,25.95,5.94,104.61,17.97
48,2025-06-20 17:09:09.102406,32,126,767,1.000,103.98,103.50,119.00,3327.50,2.70,576,18.00,0.261,0.000011,0.000011,0.000012,0.000010,0.000007,0.000012,3.94,26.41,6.09,103.98,18.00
49,2025-06-20 17:09:09.102648,32,118,767,1.000,103.48,103.00,118.50,3311.50,2.70,576,18.00,0.260,0.000011,0.000011,0.000012,0.000009,0.000007,0.000012,3.69,28.06,6.50,103.48,18.00
50,2025-06-20 17:09:09.102873,32,116,767,1.000,102.98,102.50,118.00,3295.50,2.70,576,18.00,0.259,0.000011,0.000011,0.000012,0.000010,0.000007,0.000013,3.62,28.41,6.61,102.98,18.00
51,2025-06-20 17:09:09.103102,31,115,767,0.969,102.50,102.00,117.50,3177.50,2.74,558,18.00,0.258,0.000011,0.000011,0.000012,0.000010,0.000007,0.000014,3.71,27.63,6.67,102.50,18.00
52,2025-06-20 17:09:09.103335,31,109,767,1.000,102.00,101.50,117.00,3162.00,2.74,558,18.00,0.257,0.000011,0.000011,0.000011,0.000010,0.000008,0.000013,3.52,29.01,7.04,102.00,18.00
53,2025-06-20 17:09:09.103559,31,104,767,1.000,101.50,101.00,116.50,3146.50,2.74,558,18.00,0.256,0.000011,0.000011,0.000012,0.000010,0.000008,0.000012,3.35,30.25,7.38,101.50,18.00
54,2025-06-20 17:09:09.103851,31,103,767,1.000,101.00,100.50,116.00,3131.00,2.74,558,18.00,0.255,0.000011,0.000011,0.000012,0.000009,0.000007,0.000013,3.32,30.40,7.45,101.00,18.00
55,2025-06-20 17:09:09.104084,31,100,767,1.000,100.50,100.00,115.50,3115.50,2.74,558,18.00,0.254,0.000011,0.000012,0.000012,0.000009,0.000008,0.000013,3.23,31.15,7.67,100.50,18.00
56,2025-06-20 17:09:09.104332,31,96,767,1.000,100.00,99.50,115.00,3100.00,2.74,558,18.00,0.253,0.000011,0.000012,0.000012,0.000009,0.000008,0.000013,3.10,32.29,7.99,100.00,18.00
57,2025-06-20 17:09:09.104573,31,86,767,1.000,99.50,99.00,114.50,3084.50,2.74,558,18.00,0.252,0.000011,0.000012,0.000012,0.000010,0.000008,0.000013,2.77,35.87,8.92,99.50,18.00
